설치장소(도로명),경도,위도
서대문구 연희로12길 13,126.9318336,37.566967
서대문구 연희로10길 27,126.9321437,37.5658616
서대문구 연희로12길 10-10,126.9315599,37.5663158
서대문구 연희로12길 10-10,126.9315599,37.5663158
서대문구 연희로8길 35,126.9320036,37.5653647
서대문구 연희로10가길 51-16,126.9311345,37.5644018
서대문구 연희로6길 9,126.9288319,37.5631555
서대문구 모래내로179,126.9202426,37.5716551
서대문구 거북골로223,126.9066644,37.5797565
서대문구 불광천길42,126.9049902,37.5781191
서대문구 불광천길14,126.9039967,37.5771548
서대문구 거북골로23길76,126.9042142,37.5769947
서대문구 거북골로23길 39,126.9057478,37.5781802
서대문구 거북골로23길 34-14,126.9055947,37.5785843
서대문구 거북골로23길 27,126.9062064,37.5785629
서대문구 거북골로 215-8,126.9071268,37.579103
서대문구 거북골로21길 34,126.9064165,37.5781324
서대문구 거북골로21길 45,126.9061174,37.5776791
서대문구 거북골로21길 32-21,126.9058767,37.5778841
서대문구 거북골로21길 32-6,126.9064128,37.5783846
서대문구 수색로8나길 36,126.9054213,37.5772852
서대문구 수색로10길 32,126.9049022,37.5763974
서대문구 수색로8가길 22,126.9057375,37.5765673
서대문구 수색로8길 26,126.9065535,37.5757279
서대문구 수색로8길 50,126.9072526,37.5766985
서대문구 수색로8나길 24-3,126.9059565,37.5770739
서대문구 수색로8나길 24,126.90589,37.5769742
서대문구 거북골로23길 20-4,126.9062211,37.5791037
서대문구 거북골로19길 10,126.9087968,37.5779381
서대문구 응암로 35,126.9085053,37.5769623
서대문구 응암로1길 17,126.909751,37.5815961
서대문구 거북골로22길 59-13,126.9093682,37.5814484
서대문구 거북골로22길 43,126.9094143,37.5806199
서대문구 거북골로22길 49-5,126.9094556,37.5808906
서대문구 거북골로24길 25,126.9079541,37.5805974
서대문구 거북골로22길 9-24,126.9081261,37.5796709
서대문구 거북골로22길 29-51,126.908368,37.5801687
서대문구 불광천길 142,126.908585,37.5815854
서대문구 불광천길 176,126.9098582,37.5827865
서대문구 불광천길 202,126.9107624,37.5836688
서대문구 증가로32길 42,126.9132221,37.585034
서대문구 증가로29길 30-15,126.9109474,37.5818505
서대문구 증가로23길 38,126.9130659,37.5802031
서대문구 증가로21길 20-7,126.9142862,37.5803675
서대문구 증가로 197-76,126.9151899,37.5773844
서대문구 거북골로14나길 24,126.9144922,37.5786574
서대문구 증가로23다길 44,126.9141115,37.5783656
서대문구 거북골로16길 42,126.913391,37.5773048
서대문구 거북골로16길 33,126.912958,37.577499
서대문구 거북골로18가길 7,126.910951,37.5777148
서대문구 거북골로18가길 5-8,126.9111402,37.5779418
서대문구 거북골로18나길 8,126.9112389,37.5781589
서대문구 거북골로18길 12,126.9106881,37.5778925
서대문구 거북골로14길 66,126.9140247,37.5781035
서대문구 거북골로14길 81,126.9133036,37.5786465
서대문구 거북골로18다길 26,126.9128347,37.5789755
서대문구 증가로28길 21,126.9146488,37.5826865
서대문구 증가로24바길 62,126.9188194,37.5831843
서대문구 증가로24바길 40,126.9176795,37.5829305
서대문구 증가로24마길 1,126.9165085,37.5824873
서대문구 증가로12나길34앞,126.9208744,37.5804369
서대문구 증가로20가길40-9앞,126.9206268,37.5811194
서대문구 증가로20가길44,126.920378,37.5810991
서대문구 증가로20가길45,126.9202839,37.5813415
서대문구 증가로20나길8-8 앞,126.9190484,37.5814384
서대문구 증가로20길46,126.9182035,37.5811513
서대문구 증가로20길30-14,126.9178373,37.5806344
